Player,Year,Position,GP,TOI,G,A,P,g-adj,a-adj,p-adj,P1,trend_next,trend_cur,P/60,P1/60,GS,GS/60,CF,CA,C+/-,CF%,Rel CF%,GF,GA,G+/-,GF%,Rel GF%,xGF,xGA,xG+/-,xGF%,Rel xGF%,iPENT,iPEND,iP+/-,iCF,iCF/60,ixGF,ixGF/60,iSh%,PDO,ZSR,TOI%,TOI% QoT,CF% QoT,TOI% QoC,CF% QoC
TODD.BERTUZZI,2008,R,65,887,7,16,23,8.830769231,20.18461538,29.01538462,21,1,0,1.56,1.42,26.45,1.79,837,747,90,52.84,-4.11,35,39,-4,47.3,-6.87,34.89,32.67,2.22,51.64,-2.99,25,20,-5,142,9.61,6.46,0.44,8.43,97.87,56.84,31.02,30.93,56.09,29.24,49.31
TODD.BERTUZZI,2009,R,82,"1,108",13,17,30,13,17,30,25,1,1,1.62,1.35,37.77,2.05,1107,976,131,53.14,-1.29,44,51,-7,46.32,-2.39,46.54,43.12,3.42,51.91,-0.96,29,16,-13,285,15.43,13.86,0.75,7.88,98.86,54.7,28.74,31.49,55.77,29.79,50
TODD.BERTUZZI,2010,R,81,"1,113",13,22,35,13.16049383,22.27160494,35.43209877,25,1,1,1.89,1.35,31.57,1.7,1037,1030,7,50.17,-4.35,51,54,-3,48.57,-2.55,41.19,43.33,-2.14,48.73,-4.91,19,9,-10,196,10.57,9.1,0.49,11.4,99.62,50.46,29.26,30.71,54.14,29.72,49.9
TODD.BERTUZZI,2011,R,71,950,13,20,33,15.01408451,23.09859155,38.11267606,21,0,1,2.08,1.33,39.85,2.52,853,714,139,54.44,0.4,49,24,25,67.12,12.34,37.21,31.17,6.04,54.42,1.25,25,13,-12,165,10.42,9.87,0.62,12.38,103.86,53.01,28.37,31.38,56.81,30.19,49.96
TODD.BERTUZZI,2013,R,59,677,3,6,9,4.169491525,8.338983051,12.50847458,6,0,0,0.8,0.53,7.08,0.63,550,559,-9,49.59,-1.79,24,37,-13,39.34,-13,21.46,26.34,-4.88,44.9,-5.95,16,3,-13,107,9.49,4.73,0.42,4.76,96.99,53.6,24.26,30.53,52.28,29.33,49.65
TODD.FEDORUK,2008,L,72,727,4,6,10,4.555555556,6.833333333,11.38888889,5,0,0,0.83,0.41,1.54,0.13,555,702,-147,44.15,-1.74,20,32,-12,38.46,-8.51,21.01,27.68,-6.67,43.15,-3.09,22,20,-2,92,7.6,4.58,0.38,7.69,98.25,46.98,21.84,28.87,46.53,28.59,50.65
TODD.MARCHANT,2008,C,72,702,3,8,11,3.416666667,9.111111111,12.52777778,8,1,0,0.94,0.68,8.74,0.75,500,586,-86,46.04,-5.06,17,24,-7,41.46,-13.04,21.28,24.13,-2.85,46.86,-4.05,11,10,-1,114,9.74,5.52,0.47,3.95,98.59,45.26,22.09,28.53,49.55,28.78,50.25
TODD.MARCHANT,2009,C,78,893,3,12,15,3.153846154,12.61538462,15.76923077,6,0,1,1.01,0.4,-0.29,-0.02,632,899,-267,41.28,-7.94,21,41,-20,33.87,-21.15,24.39,35.12,-10.73,40.98,-5.67,12,11,-1,105,7.05,5.51,0.37,4.62,97.69,36.72,25.12,28.52,47.74,28.77,50.33
TODD.MARCHANT,2010,C,79,736,1,2,3,1.037974684,2.075949367,3.113924051,3,0,0,0.24,0.24,-9.77,-0.8,471,743,-272,38.8,-6.95,7,28,-21,20,-29.6,17.69,30.39,-12.7,36.79,-8.99,12,6,-6,100,8.15,4.3,0.35,1.89,95.15,40.94,19.81,26.62,45.15,28.02,49.76
TODD.WHITE,2008,C,82,985,6,26,32,6,26,32,24,0,0,1.95,1.46,21.55,1.31,766,887,-121,46.34,0.09,48,55,-7,46.6,-1.69,32.95,41.2,-8.25,44.44,-3.1,9,8,-1,117,7.13,6.85,0.42,7.14,100.39,41.16,27.23,30.33,45.75,29.52,49.75
TODD.WHITE,2009,C,65,727,5,10,15,6.307692308,12.61538462,18.92307692,10,0,0,1.24,0.83,14.4,1.19,643,673,-30,48.86,0.5,28,29,-1,49.12,-0.41,26.5,30.91,-4.41,46.16,1.02,8,5,-3,114,9.41,4.94,0.41,7.69,100,44.2,24.72,30.16,49.29,28.98,49.59
TOM.KOSTOPOULOS,2008,R,78,903,7,13,20,7.358974359,13.66666667,21.02564103,14,0,0,1.33,0.93,19.69,1.31,838,887,-49,48.58,0.87,34,35,-1,49.28,1,34.05,35.88,-1.83,48.69,2.03,29,25,-4,184,12.23,10.17,0.68,6.42,100.22,46.39,26.5,29.58,47.64,28.87,49.64
TOM.KOSTOPOULOS,2009,R,81,823,6,11,17,6.074074074,11.13580247,17.20987654,12,0,0,1.24,0.87,16.79,1.22,725,787,-62,47.95,-1.13,30,30,0,50,3.51,31.18,31.84,-0.66,49.48,2.66,25,25,0,166,12.1,8.46,0.62,6.52,100.64,52.31,22.37,28.23,49.01,28.47,49.54
TOM.KOSTOPOULOS,2010,R,76,764,6,9,15,6.473684211,9.710526316,16.18421053,12,0,0,1.18,0.94,18.63,1.46,741,686,55,51.93,1.2,28,31,-3,47.46,-7.59,29.42,24.95,4.47,54.11,2.83,19,17,-2,129,10.13,7.15,0.56,8.45,98.28,51.39,21.81,28.02,51.41,28.01,49.16
TOM.KOSTOPOULOS,2011,R,81,868,2,8,10,2.024691358,8.098765432,10.12345679,6,0,0,0.69,0.41,8.47,0.59,739,802,-63,47.96,0.91,21,36,-15,36.84,-13.6,30.63,30.55,0.08,50.07,1.32,17,16,-1,134,9.27,6.45,0.45,2.44,97.12,45.22,22.34,27.74,47.87,27.72,49.53
TOM.PYATT,2011,C,74,873,10,7,17,11.08108108,7.756756757,18.83783784,14,1,0,1.17,0.96,8.8,0.6,618,817,-199,43.07,-5.52,24,39,-15,38.1,-11.3,25.99,29.56,-3.57,46.79,-0.69,3,12,9,124,8.52,7.32,0.5,12.35,97.4,35.16,24.72,28.51,48.07,29,50.11
